,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Albacete,"194,158","194,743","195,841","197,014","198,230","200,016","201,640","201,400","201,396","201,162","199,820","196,772","194,348","192,624","189,743","188,139","185,458","182,826","180,311","179,210","178,058", ,"178,130"
Alicante,"911,097","904,711","911,173","920,920","928,519","968,927","969,237","964,560","961,733","958,200","947,523","913,455","892,862","866,000","825,568","811,672","772,613","735,179","710,896","693,933","682,380", ,"677,118"
Almería,"361,319","359,676","358,223","356,058","356,663","355,658","359,547","361,189","358,112","352,395","343,716","333,227","329,632","315,056","294,186","287,292","276,380","269,545","259,384","256,380","252,177", ,"250,552"
Álava,"162,175","161,354","160,240","160,294","159,583","159,622","160,649","159,041","158,322","156,418","154,376","152,040","150,297","149,623","147,475","146,651","145,251","143,579","142,269","141,900","141,350", ,"139,940"
Asturias,"490,738","493,911","497,852","502,175","507,927","511,346","516,420","518,571","520,402","520,916","518,291","515,292","516,347","516,329","515,047","515,945","515,166","515,897","516,398","520,012","519,530", ,"522,981"
Ávila,"79,538","80,674","81,630","82,880","83,998","85,025","86,434","87,085","86,728","86,720","86,836","84,897","84,290","83,941","83,393","83,036","82,951","82,297","82,790","83,441","84,013", ,"85,007"
Badajoz,"334,636","336,566","338,954","340,376","342,654","344,296","344,690","344,291","343,363","341,912","340,243","336,211","333,759","332,481","328,519","327,802","327,691","328,427","327,198","328,541","328,160", ,"324,765"
Baleares,"561,803","554,925","550,682","549,678","549,801","554,603","560,091","557,577","555,204","551,079","540,395","517,593","501,899","492,642","478,046","474,248","458,349","437,340","419,095","406,358","392,835", ,"373,891"
Barcelona,"2,733,466","2,718,621","2,704,771","2,696,360","2,699,040","2,711,403","2,722,394","2,715,628","2,710,304","2,703,137","2,668,359","2,623,719","2,615,776","2,571,514","2,512,246","2,479,347","2,398,899","2,337,968","2,299,291","2,283,548","2,261,746", ,"2,246,945"
Vizcaya,"554,879","554,289","554,342","554,832","556,772","559,573","561,134","560,178","559,359","559,174","556,095","553,355","553,501","552,297","550,836","551,266","551,288","550,802","550,880","553,548","553,761", ,"555,274"
Burgos,"178,337","178,919","180,418","182,142","183,882","186,638","189,124","189,652","189,454","190,271","189,675","184,713","183,355","181,610","178,943","178,140","176,770","175,237","173,695","173,729","173,195", ,"175,247"
Cáceres,"196,619","198,494","200,285","201,702","202,962","203,758","205,634","206,573","206,358","205,638","205,949","205,481","206,593","206,744","206,185","206,089","205,848","205,195","203,946","204,965","202,834", ,"205,735"
Cádiz,"611,357","612,191","612,858","613,094","613,340","612,770","616,686","615,865","612,833","609,984","608,616","601,832","594,647","587,700","578,939","573,992","566,033","561,330","557,963","555,684","549,120", ,"548,263"
Cantabria,"281,564","281,808","282,988","284,788","286,782","288,643","289,999","289,872","289,931","288,735","285,469","280,283","277,869","274,797","270,907","268,309","264,492","261,967","258,682","257,495","256,766", ,"256,946"
Castellón,"286,359","285,467","287,802","289,720","292,804","300,992","302,927","302,855","303,490","303,460","299,829","288,079","281,340","272,714","264,099","259,437","250,410","241,143","235,070","231,578","228,231", ,"225,406"
Ciudad Real,"246,656","248,328","250,847","254,571","257,918","260,888","264,067","264,078","264,098","263,038","260,649","253,473","251,565","247,795","243,698","240,603","238,380","234,988","233,538","234,828","234,972", ,"234,355"
Córdoba,"385,085","386,736","388,470","390,559","392,644","394,189","395,300","395,858","395,570","395,225","392,658","389,173","386,939","384,749","382,213","379,989","377,328","376,511","376,308","376,237","375,244", ,"372,249"
A Coruña,"536,637","537,311","538,878","541,292","544,075","547,079","550,009","551,476","551,318","550,841","548,037","544,352","542,260","541,189","538,764","538,469","533,914","532,039","531,744","532,943","531,769", ,"533,921"
Cuenca,"98,999","99,821","101,097","102,583","104,586","107,111","110,460","111,052","110,384","110,282","109,058","106,633","105,068","104,912","102,947","102,040","101,048","100,630","100,126","100,088","99,031", ,"100,387"
Guipúzcoa,"351,696","351,262","350,998","350,799","350,014","349,551","348,655","347,653","347,027","346,820","344,679","341,400","340,051","338,605","337,552","336,409","335,670","334,011","333,502","332,698","331,804", ,"331,900"
Girona,"380,690","377,615","376,943","376,936","379,175","382,685","383,428","381,448","380,773","379,629","372,266","358,108","348,922","336,206","320,098","311,514","299,657","289,317","281,460","274,866","269,400", ,"262,542"
Granada,"449,318","449,821","451,148","451,907","453,407","453,670","456,216","457,084","453,734","448,784","447,280","437,782","433,320","424,718","414,472","407,293","402,121","398,272","395,659","397,751","391,867", ,"395,509"
Guadalajara,"128,854","128,341","128,265","128,952","130,197","131,796","133,009","131,532","129,170","126,608","122,327","114,798","109,054","104,082","98,911","94,421","90,208","86,761","83,488","81,594","80,464", ,"79,412"
Huelva,"257,713","257,613","257,571","257,699","257,542","258,387","259,370","259,362","257,716","255,144","252,394","248,151","246,056","241,142","237,146","234,902","230,999","228,771","227,014","226,227","224,433", ,"224,776"
Huesca,"110,599","110,854","111,597","112,626","113,840","114,781","115,512","116,224","116,524","116,630","114,939","111,978","110,983","109,869","107,961","106,962","105,566","103,711","103,220","103,135","102,854", ,"103,976"
Jaén,"315,549","318,430","320,862","323,861","326,583","330,505","334,226","333,384","332,900","332,517","332,568","330,543","329,496","328,041","324,877","323,089","320,575","319,613","319,203","321,263","319,272", ,"319,859"
León,"225,646","228,059","230,727","233,664","236,537","239,179","241,749","243,316","244,199","244,716","244,786","242,939","243,051","241,756","240,342","242,106","242,409","243,846","245,282","247,677","247,569", ,"253,256"
Lleida,"219,509","219,059","219,917","220,719","221,891","223,779","225,345","225,388","224,397","223,095","218,379","211,268","208,332","203,618","194,378","189,998","186,026","182,362","180,132","179,089","178,152", ,"177,372"
Lugo,"160,647","161,775","163,154","164,605","166,325","168,013","169,536","170,854","171,983","172,943","172,914","172,422","172,967","173,399","173,812","174,906","175,583","176,856","177,594","178,537","179,056", ,"180,550"
Madrid,"3,147,872","3,115,522","3,098,631","3,087,022","3,099,641","3,123,724","3,130,241","3,132,844","3,124,438","3,094,874","3,040,658","2,943,778","2,908,654","2,887,718","2,804,962","2,760,877","2,663,407","2,584,779","2,501,285","2,472,098","2,444,919", ,"2,411,548"
Málaga,"804,858","800,551","800,630","800,767","797,639","813,878","808,527","801,126","793,575","786,393","773,012","750,682","737,508","717,572","688,242","675,800","651,174","636,274","623,607","612,914","605,927", ,"611,750"
Murcia,"740,143","736,238","733,555","735,434","735,889","739,842","742,727","741,581","738,627","731,609","722,999","706,326","697,027","677,049","652,057","639,795","616,236","595,757","570,125","559,888","551,343", ,"541,069"
Navarra,"320,469","318,671","317,840","317,885","318,486","320,933","321,453","320,656","318,423","315,486","310,282","302,330","300,917","296,587","292,059","288,991","284,620","277,118","269,826","266,711","262,687", ,"257,718"
Ourense,"148,426","149,689","151,226","153,043","155,090","157,425","159,175","160,570","161,346","161,454","161,848","162,026","162,785","163,012","163,299","164,171","164,967","165,295","165,472","165,844","165,209", ,"166,778"
Palencia,"80,323","80,943","81,609","82,232","82,997","83,696","84,630","85,118","85,543","85,950","85,852","85,505","85,314","85,568","85,829","86,439","86,993","87,524","88,005","88,717","88,892", ,"89,565"
Las Palmas,"552,555","548,716","547,928","548,849","550,166","553,010","552,185","551,241","548,699","545,990","540,105","526,349","517,664","511,987","498,865","495,243","480,420","466,534","451,370","437,946","425,260", ,"417,673"
Pontevedra,"454,899","455,617","456,551","458,114","460,167","462,605","464,608","466,691","465,900","464,365","461,469","458,359","455,785","453,103","449,112","446,839","442,257","439,888","437,581","435,557","434,381", ,"439,098"
La Rioja,"155,758","155,508","155,969","156,733","158,090","160,159","161,574","161,582","161,884","162,173","160,342","155,773","154,556","151,730","147,214","143,995","140,780","134,506","130,956","131,518","130,708", ,"131,183"
Salamanca,"161,065","162,273","163,613","165,379","167,061","168,950","171,489","172,584","172,934","173,512","172,878","171,572","172,393","171,944","171,092","169,851","169,208","170,644","170,357","171,077","170,152", ,"172,071"
Tenerife,"501,477","496,397","494,910","494,354","496,207","502,292","504,055","510,350","510,007","506,646","500,032","489,144","483,730","476,243","461,793","454,916","442,933","424,015","403,529","393,761","382,832", ,"379,557"
Segovia,"76,979","77,443","78,271","79,355","80,316","81,598","82,695","82,967","83,034","83,636","83,252","80,492","78,982","78,308","76,724","75,656","74,815","73,555","73,300","73,506","73,410", ,"73,883"
Sevilla,"948,699","948,817","949,432","950,587","950,883","951,597","950,413","945,766","940,416","932,941","921,256","907,853","900,967","890,627","880,133","875,013","862,811","856,878","850,274","846,224","840,910", ,"836,478"
Soria,"44,800","44,986","45,595","46,077","46,723","47,336","47,979","48,347","48,400","48,286","47,881","47,174","47,110","46,693","46,048","45,651","45,860","45,649","45,398","45,587","45,690", ,"46,321"
Tarragona,"396,661","394,905","395,737","397,730","401,634","407,451","410,461","409,732","409,041","407,904","402,024","385,081","370,676","356,897","339,607","328,991","316,447","305,689","297,745","292,693","288,339", ,"284,930"
Teruel,"68,060","68,684","69,504","70,605","71,449","72,529","73,478","74,008","74,563","75,733","75,777","74,262","73,069","72,273","71,073","70,641","69,682","68,877","68,900","69,032","68,995", ,"69,530"
Toledo,"345,532","345,528","346,672","349,553","352,949","357,149","360,472","358,536","354,101","350,578","341,277","323,992","310,832","301,563","290,395","282,453","273,893","268,082","263,194","260,884","258,829", ,"256,792"
Valencia,"1,248,927","1,246,025","1,249,773","1,250,165","1,253,758","1,264,620","1,274,240","1,274,365","1,277,726","1,276,238","1,261,081","1,230,628","1,220,105","1,193,569","1,162,145","1,141,901","1,113,300","1,090,165","1,074,701","1,067,747","1,060,156", ,"1,059,657"
Valladolid,"253,356","254,146","255,591","256,999","258,865","260,619","261,941","262,609","262,141","261,785","260,075","255,983","254,897","252,689","250,782","248,614","245,858","244,031","242,888","242,546","241,382", ,"240,565"
Zamora,"86,319","87,808","89,321","90,888","91,871","93,336","95,100","95,993","96,427","97,144","98,103","97,807","97,766","97,941","98,105","98,684","99,071","99,829","100,258","100,876","101,213", ,"102,214"
Zaragoza,"466,839","466,357","466,105","469,456","471,675","482,677","482,908","481,054","482,090","481,456","473,687","460,756","452,607","450,006","441,840","432,607","427,901","420,094","414,002","412,194","410,517", ,"411,029"
Ceuta,"43,177","43,034","42,846","42,757","43,354","43,060","42,948","42,165","41,269","40,118","39,385","38,913","38,581","38,315","38,113","38,395","39,195","38,884","38,497","37,115","36,102", ,"34,229"
Melilla,"43,765","43,629","43,768","43,593","43,075","43,017","41,569","40,256","38,819","37,244","36,336","35,208","33,962","33,322","34,455","34,737","35,178","35,027","33,976","28,952","30,569", ,"29,647"